port,addr,epoch,utc,GrossQty#2,FlowRate#4,GrossTotal#17,NetTotal#18,PrevGross#100,PrevNet#101,longi,longimm,lati,latimm,reserved
1,0x0002000,1727719004,2024-09-30 17:56:44,10.2,10.2,2130.6,0.0,2120.4,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0002040,1727719005,2024-09-30 17:56:45,10.2,0.0,2130.6,0.0,2120.4,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0002080,1727719006,2024-09-30 17:56:46,10.2,0.0,2130.6,0.0,2120.4,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x00020C0,1727719006,2024-09-30 17:56:46,10.2,0.0,2130.6,0.0,2120.4,2120.4,0,0,0,0,0000000000000000000000000000000000000000
1,0x0002100,1727719007,2024-09-30 17:56:47,10.2,0.0,2130.6,0.0,2120.4,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0002140,1727719007,2024-09-30 17:56:47,10.2,0.0,2130.6,0.0,2120.4,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0002180,1727719008,2024-09-30 17:56:48,10.2,0.0,2130.6,0.0,2120.4,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x00021C0,1727719008,2024-09-30 17:56:48,10.2,0.0,2130.6,0.0,2120.4,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0002200,1727719009,2024-09-30 17:56:49,10.2,10.2,2130.6,0.0,2120.4,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0002240,1727719010,2024-09-30 17:56:50,10.2,0.0,2130.6,0.0,2120.4,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0002280,1727719011,2024-09-30 17:56:51,10.2,0.0,2130.6,0.0,2120.4,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x00022C0,1727719011,2024-09-30 17:56:51,10.2,0.0,2130.6,0.0,2120.4,2120.4,0,0,0,0,0000000000000000000000000000000000000000
1,0x0002300,1727719012,2024-09-30 17:56:52,10.2,0.0,2130.6,0.0,2120.4,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0002340,1727719012,2024-09-30 17:56:52,10.2,0.0,2130.6,0.0,2120.4,0.0,0,0,0,0,0000000000000000000000000000000000000000
